need_treatment,rdisc_DESPOT,rdisc_ExpertDSA,rdisc_ExpertHOSP,rdisc_POMCP,rdisc_Random,time2recover_DESPOT,time2recover_ExpertDSA,time2recover_ExpertHOSP,time2recover_POMCP,time2recover_Random,treated_DESPOT,treated_ExpertDSA,treated_ExpertHOSP,treated_POMCP,treated_Random
false,4707.5,3850.0,3537.5,5000.0,5000.0,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,4321.342812499999,3850.0,4250.0,5000.0,-2093.9812500000003,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,4443.518749999999,3850.0,4250.0,5000.0,-6990.500937499998,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,4572.124999999999,3850.0,4250.0,5000.0,-28544.684187455747,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,4707.5,3850.0,4250.0,5000.0,4850.0,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,4707.5,3850.0,4250.0,5000.0,5000.0,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,4321.342812499999,2757.5,4250.0,3850.0,-22504.649189146487,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
true,6977.174388281248,8813.875,3592.431249999999,-50000.0,-7735.814076970706,4.0,3.0,4.0,24.0,7.0,true,true,true,false,true
false,3779.8428124999996,2757.5,4250.0,4250.0,-7067.106250000001,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,4321.342812499999,3850.0,4250.0,3850.0,2099.624999999999,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
true,6283.05625,8813.875,8716.375,-50000.0,713.3828101562485,4.0,3.0,3.0,24.0,3.0,true,true,true,false,true
false,4572.124999999999,3850.0,3537.5,5000.0,5000.0,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,4443.518749999999,2757.5,4250.0,5000.0,-5762.875000000001,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
true,-101000.0,-99900.0,-99950.0,-99950.0,-101000.0,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
