hc_DESPOT,hc_ExpertDSA,hc_ExpertHOSP,hc_POMCP,hc_Random,rdisc_DESPOT,rdisc_ExpertDSA,rdisc_ExpertHOSP,rdisc_POMCP,rdisc_Random,ttr_DESPOT,ttr_ExpertDSA,ttr_ExpertHOSP,ttr_POMCP,ttr_Random,Unnecessary_DSA,Unnecessary_HOSP,Unnecessary_POMCP,Unnecessary_Random
FALSE,FALSE,FALSE,TRUE,FALSE,-50000,-50000,-45027.5,3778.875,-47400,24,24,24,3,24,0,0,0,0
FALSE,FALSE,FALSE,FALSE,FALSE,5000,3850,5000,4250,-5627.5,24,24,24,24,24,1,0,1,1
FALSE,TRUE,FALSE,TRUE,FALSE,-50000,9172.5,-50000,9172.5,-45469.18379,24,2,24,2,24,0,0,0,0
FALSE,FALSE,FALSE,FALSE,FALSE,5000,3850,5000,5000,-6947.40625,24,24,24,24,24,1,0,0,1
FALSE,FALSE,FALSE,TRUE,FALSE,-50000,-50000,-52451.75,8813.875,-53175.32937,24,24,24,3,24,0,0,0,0
FALSE,FALSE,FALSE,FALSE,FALSE,5000,-1327.5,4250,-450,5000,24,24,24,24,24,1,1,1,0
FALSE,FALSE,FALSE,FALSE,FALSE,5000,5000,5000,5000,-5627.5,24,24,24,24,24,0,0,0,1
FALSE,FALSE,FALSE,FALSE,FALSE,5000,3850,4250,5000,5000,24,24,24,24,24,1,1,0,0
FALSE,FALSE,FALSE,FALSE,FALSE,5000,5000,5000,4250,3850,24,24,24,24,24,0,0,1,1
FALSE,FALSE,FALSE,FALSE,FALSE,5000,3850,4250,5000,-20846.48635,24,24,24,24,24,1,1,0,1
FALSE,FALSE,FALSE,FALSE,FALSE,5000,3850,4250,5000,-1327.5,24,24,24,24,24,1,1,0,1
FALSE,FALSE,FALSE,FALSE,FALSE,-50000,-50000,-52451.75,-50000,-49711.25,24,24,24,24,24,0,0,0,0
FALSE,FALSE,FALSE,FALSE,FALSE,5000,5000,4250,4250,-1327.5,24,24,24,24,24,0,1,1,1
FALSE,FALSE,FALSE,FALSE,FALSE,5000,3850,5000,5000,-15694.23392,24,24,24,24,24,1,0,0,1
FALSE,FALSE,FALSE,FALSE,FALSE,5000,3850,4250,3850,-42255.33142,24,24,24,24,24,1,1,1,1
FALSE,FALSE,FALSE,FALSE,FALSE,5000,5000,4250,-5627.5,-16008.38075,24,24,24,24,24,0,1,1,1
